id,game_type,game_args_seller_value,game_args_buyer_value,game_args_product_price_order,game_args_max_rounds,game_args_messages_allowed,game_args_complete_information,config_type,title,games,payment_per_hour,human_is_player,time (min),participation_fee,mean_bonus,description,qualification
22,negotiation,0.8,0.8,10000,10,False,False,random,Simple Game B,15,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_0
23,negotiation,0.8,0.8,10000,10,False,False,random,Simple Game B,15,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_1
74,negotiation,0.8,1.0,10000,30,True,False,random,Simple Game B,15,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_2
75,negotiation,0.8,1.0,10000,30,True,False,random,Simple Game B,15,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_3
78,negotiation,0.8,1.0,10000,30,False,False,random,Simple Game B,15,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_4
79,negotiation,0.8,1.0,10000,30,False,False,random,Simple Game B,15,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_0
120,negotiation,0.8,1.2,10000,30,True,True,variant,Simple Game B,25,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_1
121,negotiation,0.8,1.2,10000,30,True,True,variant,Simple Game B,25,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_2
178,negotiation,0.8,1.5,1000000,10,True,False,random,Simple Game B,15,15,1,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_3
179,negotiation,0.8,1.5,1000000,10,True,False,random,Simple Game B,15,15,2,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_4
182,negotiation,0.8,1.5,1000000,10,False,False,random,Simple Game B,15,15,1,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_0
183,negotiation,0.8,1.5,1000000,10,False,False,random,Simple Game B,15,15,2,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_1
216,negotiation,1.0,0.8,10000,30,True,True,variant,Simple Game B,25,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_2
217,negotiation,1.0,0.8,10000,30,True,True,variant,Simple Game B,25,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_3
224,negotiation,1.0,0.8,1000000,10,True,True,random,Simple Game B,15,15,1,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_4
225,negotiation,1.0,0.8,1000000,10,True,True,random,Simple Game B,15,15,2,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_0
248,negotiation,1.0,1.0,100,30,True,True,random,Simple Game B,15,10,1,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_1
249,negotiation,1.0,1.0,100,30,True,True,random,Simple Game B,15,10,2,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_2
262,negotiation,1.0,1.0,10000,10,False,False,random,Simple Game B,15,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_3
263,negotiation,1.0,1.0,10000,10,False,False,random,Simple Game B,15,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_4
264,negotiation,1.0,1.0,10000,30,True,True,variant,Simple Game B,25,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_0
265,negotiation,1.0,1.0,10000,30,True,True,variant,Simple Game B,25,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_1
296,negotiation,1.0,1.2,100,30,True,True,variant,Simple Game B,25,10,1,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_2
297,negotiation,1.0,1.2,100,30,True,True,variant,Simple Game B,25,10,2,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_3
302,negotiation,1.0,1.2,100,30,False,False,random,Simple Game B,15,10,1,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_4
303,negotiation,1.0,1.2,100,30,False,False,random,Simple Game B,15,10,2,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_0
304,negotiation,1.0,1.2,10000,10,True,True,variant,Simple Game B,25,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_1
305,negotiation,1.0,1.2,10000,10,True,True,variant,Simple Game B,25,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_2
312,negotiation,1.0,1.2,10000,30,True,True,main,Simple Game B,50,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_3
313,negotiation,1.0,1.2,10000,30,True,True,main,Simple Game B,50,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_4
314,negotiation,1.0,1.2,10000,30,True,False,variant,Simple Game B,25,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_0
315,negotiation,1.0,1.2,10000,30,True,False,variant,Simple Game B,25,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_1
316,negotiation,1.0,1.2,10000,30,False,True,variant,Simple Game B,25,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_2
317,negotiation,1.0,1.2,10000,30,False,True,variant,Simple Game B,25,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_3
320,negotiation,1.0,1.2,1000000,10,True,True,random,Simple Game B,15,15,1,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_4
321,negotiation,1.0,1.2,1000000,10,True,True,random,Simple Game B,15,15,2,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_0
328,negotiation,1.0,1.2,1000000,30,True,True,variant,Simple Game B,25,15,1,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_1
329,negotiation,1.0,1.2,1000000,30,True,True,variant,Simple Game B,25,15,2,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_2
360,negotiation,1.0,1.5,10000,30,True,True,variant,Simple Game B,25,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_3
361,negotiation,1.0,1.5,10000,30,True,True,variant,Simple Game B,25,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_4
396,negotiation,1.2,0.8,100,30,False,True,random,Simple Game B,15,10,1,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_0
397,negotiation,1.2,0.8,100,30,False,True,random,Simple Game B,15,10,2,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_1
444,negotiation,1.2,1.0,100,30,False,True,random,Simple Game B,15,10,1,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_2
445,negotiation,1.2,1.0,100,30,False,True,random,Simple Game B,15,10,2,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_3
504,negotiation,1.2,1.2,10000,30,True,True,variant,Simple Game B,25,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_4
505,negotiation,1.2,1.2,10000,30,True,True,variant,Simple Game B,25,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_0
552,negotiation,1.2,1.5,10000,30,True,True,random,Simple Game B,15,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_1
553,negotiation,1.2,1.5,10000,30,True,True,random,Simple Game B,15,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_2
562,negotiation,1.2,1.5,1000000,10,True,False,random,Simple Game B,15,15,1,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_3
563,negotiation,1.2,1.5,1000000,10,True,False,random,Simple Game B,15,15,2,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_4
600,negotiation,1.5,0.8,10000,30,True,True,random,Simple Game B,15,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_0
601,negotiation,1.5,0.8,10000,30,True,True,random,Simple Game B,15,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_1
620,negotiation,1.5,0.8,1000000,30,False,True,random,Simple Game B,15,15,1,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_2
621,negotiation,1.5,0.8,1000000,30,False,True,random,Simple Game B,15,15,2,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_3
674,negotiation,1.5,1.2,100,10,True,False,random,Simple Game B,15,10,1,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_4
675,negotiation,1.5,1.2,100,10,True,False,random,Simple Game B,15,10,2,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_0
676,negotiation,1.5,1.2,100,10,False,True,random,Simple Game B,15,10,1,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_1
677,negotiation,1.5,1.2,100,10,False,True,random,Simple Game B,15,10,2,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_2
696,negotiation,1.5,1.2,10000,30,True,True,variant,Simple Game B,25,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_3
697,negotiation,1.5,1.2,10000,30,True,True,variant,Simple Game B,25,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_4
